varEntry,varGuid,testItemId,varTitle,varResultName,varField,varPageObject,varValue
e23,f83c9e57-021d-48a6-b7f5-9c30e2d15b8c,202,Assert KC HL FAQs,FAQs,FAQs,POHelpDeskKnowledgeCenter,FAQs
e24,75d1e406-a93c-4f82-b10d-e35c9af67842,203,Assert KC HL FAQs Link,FAQs,FAQs,POHelpDeskKnowledgeCenter,https://www.va.gov/HOMELESS/squares/docs/SQUARES_FAQS.pdf
